search URL:,https://patents.google.com/?q=CPC%253dA63B59%252f40&clustered=true
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2010317468-A1,Table Tennis Racket or Like Racket Played by Hand Controlled by Fingers and Palm ,Kwok Kit Tang,Kwok Kit Tang,2006-04-27,2007-03-05,2010-12-16,,https://patents.google.com/patent/US20100317468A1/en,https://patentimages.storage.googleapis.com/ca/b3/3f/d55ed278a842ef/US20100317468A1-20101216-D00000.png
KR-101765150-B1,Radio waves guiding window for metal case and manufacturing method thereof ,"후앙 치에 메탈 테크놀로지 코., 엘티디.",친-한 왕,2016-01-08,2016-01-08,2017-08-23,2017-08-23,https://patents.google.com/patent/KR101765150B1/en,https://patentimages.storage.googleapis.com/fe/fb/4d/bdbf5e1a1b7c1b/112016002160112-pat00001.png
HK-1060316-A1,Ball game device. ,"Ken Watson, Mcsherry Gerard","Ken Watson, Elma Mcsherry",2000-10-27,2004-03-19,2004-08-06,,https://patents.google.com/patent/HK1060316A1/en,
KR-100986905-B1,Shakehand type pingpong racket with supporting projection part ,류종렬,류종렬,2007-08-23,2008-08-25,2010-10-08,2010-10-08,https://patents.google.com/patent/KR100986905B1/en,https://patentimages.storage.googleapis.com/55/58/cf/903db0b9b434b4/112008504322525-pat00001.png
US-7204770-B2,Table tennis racket ,Etablissements Cornilleau,Stéphane Mithieux,2005-01-20,2006-01-18,2007-04-17,2007-04-17,https://patents.google.com/patent/US7204770B2/en,https://patentimages.storage.googleapis.com/US7204770B2/US07204770-20070417-D00000.png
US-2012015765-A1,Table tennis blade and method of use ,Dai Feng,Dai Feng,2010-07-14,2010-07-14,2012-01-19,,https://patents.google.com/patent/US20120015765A1/en,https://patentimages.storage.googleapis.com/26/ba/d3/3c91fa26449b48/US20120015765A1-20120119-D00000.png
KR-20120125834-A,Penholder type pingpong bat ,류종렬,류종렬,2011-05-09,2011-05-09,2012-11-19,,https://patents.google.com/patent/KR20120125834A/en,https://patentimages.storage.googleapis.com/92/c2/6e/2bac559a5141f9/pat00001.png
KR-20170040445-A,The racket for power swing of offensive play ,(주)제이비스포츠,권오룡,2015-10-02,2015-10-02,2017-04-13,,https://patents.google.com/patent/KR20170040445A/en,https://patentimages.storage.googleapis.com/2d/25/29/effd4e9bd6a5fb/pat00001.png
CN-107213607-A,It is a kind of to cultivate the table tennis bat of physical education for children hobby ,成都尚智恒达科技有限公司,"任无, 史晓莉",2017-07-19,2017-07-19,2017-09-29,,https://patents.google.com/patent/CN107213607A/en,
US-10926150-B2,Tennis training apparatus ,Cpy 2 Llc,"Cindy Yablonowski, Randall Yablonowski, James Yablonowski",2017-09-15,2018-09-13,2021-02-23,2021-02-23,https://patents.google.com/patent/US10926150B2/en,https://patentimages.storage.googleapis.com/08/91/31/483823f481f3ae/US10926150-20210223-D00000.png
DE-202011107109-U1,"Handle bandage, cover for table tennis rackets ",Kurt Kunadt,,2011-10-25,2011-10-25,2012-06-15,,https://patents.google.com/patent/DE202011107109U1/en,https://patentimages.storage.googleapis.com/81/66/8c/433bbb7c36dbf9/00030001.png
CN-101332353-A,Table tennis bat ,珀修斯股份公司,H-H·V·凯勒,2007-06-30,2007-09-27,2008-12-31,,https://patents.google.com/patent/CN101332353A/en,
EP-2044982-B1,Table tennis bat ,Perseus Co. Ltd.,Joachim Josef Nolte,2007-10-03,2008-10-01,2010-04-07,2010-04-07,https://patents.google.com/patent/EP2044982B1/en,https://patentimages.storage.googleapis.com/10/2c/da/594cabc93307ee/imgf0001.png
KR-20140003911-U,Racket for table tennis ,"이두성, 이대호",이두성,2012-12-17,2012-12-17,2014-06-25,,https://patents.google.com/patent/KR20140003911U/en,https://patentimages.storage.googleapis.com/16/af/5a/2e5ec7d1e46b59/utm00001.png
KR-20140004730-U,racket ,김형석,김형석,2013-02-13,2013-02-13,2014-08-21,,https://patents.google.com/patent/KR20140004730U/en,https://patentimages.storage.googleapis.com/99/21/84/c07572ea612b34/utm00001.png
KR-101116296-B1,Repeelable water based adhesive composition for table tennis racket ,한국신발피혁연구소,"유종선, 임성욱, 정부영, 천정미, 천제환",2009-11-17,2009-11-17,2012-03-14,2012-03-14,https://patents.google.com/patent/KR101116296B1/en,https://patentimages.storage.googleapis.com/77/4a/f9/d3f8ced30952dd/112009070481148-pat00001.png
DE-202013003137-U1,Devices that contribute to the increased variability in table tennis game ,Heinz Latz,,2013-04-03,2013-04-03,2013-05-17,,https://patents.google.com/patent/DE202013003137U1/en,https://patentimages.storage.googleapis.com/cc/e7/42/73845002ae447d/00060001.png
DE-102004050683-A1,Table tennis competition bat with a middle layer of Balsa wood between two veneers pressure laminated toether with epoxy resin is very stable and breakage resistant ,Wilfried Blumhagen,"Wilfried Blumhagen, Sonja Blumhagen",2004-10-18,2004-10-18,2006-04-20,,https://patents.google.com/patent/DE102004050683A1/en,
US-7993222-B2,Table-tennis bat(pen-holding type) ,Chong Peen Siow,Chong Peen Siow,2003-05-16,2005-12-02,2011-08-09,2011-08-09,https://patents.google.com/patent/US7993222B2/en,https://patentimages.storage.googleapis.com/99/6e/02/8f3cf3e63184c9/US07993222-20110809-D00000.png
US-7150692-B2,Sport good of composite material with lighter weight and greater rigidity ,Arthur Hong,Arthur Hong,2004-11-01,2004-11-01,2006-12-19,2006-12-19,https://patents.google.com/patent/US7150692B2/en,https://patentimages.storage.googleapis.com/US7150692B2/US07150692-20061219-D00000.png
CN-107754286-A,A kind of table tennis system based on inertial navigation and sense of touch correction positioning ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-03-06,,https://patents.google.com/patent/CN107754286A/en,
US-2012318449-A1,Method for making a sponge rubber of a table tennis racket ,Kuang Tsu Li,Kuang Tsu Li,2011-06-17,2011-06-17,2012-12-20,,https://patents.google.com/patent/US20120318449A1/en,https://patentimages.storage.googleapis.com/39/5a/a2/e1cee39f28455a/US20120318449A1-20121220-D00000.png
FR-2858774-A1,"Racket for e.g. beach game, includes handle with storage cavity dimensioned to receive multiple balls of game, and inlet of storage cavity permitting introduction and removal of balls ",Georges Assy,Georges Assy,2003-08-13,2003-08-13,2005-02-18,,https://patents.google.com/patent/FR2858774A1/en,
WO-2011085692-A1,Bat for table tennis or tennis or badminton or squash with vibration damping handle ,Liu Yong,刘勇,2010-01-17,2011-01-16,2011-07-21,,https://patents.google.com/patent/WO2011085692A1/en,
KR-20110110148-A,Sporting device made of thermally modified wood ,티티 튜닝 센터 게엠베하,미카엘 쉬나이더,2009-01-08,2010-01-07,2011-10-06,,https://patents.google.com/patent/KR20110110148A/en,https://patentimages.storage.googleapis.com/9e/b6/ce/c1cfd551e3064a/pct00001.png
KR-200453249-Y1,Table Tennis Racket Rubber Cutting Device ,이호진,이호진,2010-09-07,2010-09-07,2011-04-20,2011-04-20,https://patents.google.com/patent/KR200453249Y1/en,https://patentimages.storage.googleapis.com/1e/ca/31/c83b5d8c731d45/112010058099196-utm00004.png
WO-2013029556-A1,Ball for children ,Liu Yangsheng,刘阳胜,2011-09-02,2012-08-31,2013-03-07,,https://patents.google.com/patent/WO2013029556A1/en,
DE-202010006673-U1,Heating pad for table tennis pads ,"Renner, Heinz, Dr.",,2010-05-11,2010-05-11,2010-08-05,,https://patents.google.com/patent/DE202010006673U1/en,
US-10456903-B2,Multi-point custom position grip modification system ,Robin Peng,Robin Peng,2016-09-19,2018-07-30,2019-10-29,2019-10-29,https://patents.google.com/patent/US10456903B2/en,https://patentimages.storage.googleapis.com/a9/e5/6c/0b21aa137b495c/US10456903-20191029-D00000.png
US-2010292034-A1,Racket grip aid ,Mitsuhiro Aida,Mitsuhiro Aida,2009-05-13,2010-04-05,2010-11-18,,https://patents.google.com/patent/US20100292034A1/en,https://patentimages.storage.googleapis.com/09/65/c6/ebfe4077f446c6/US20100292034A1-20101118-D00000.png
CN-202122807-U,Table tennis bat with improved handle ,刘勇,刘勇,2010-06-08,2011-06-07,2012-01-25,2012-01-25,https://patents.google.com/patent/CN202122807U/en,
CN-105617628-A,Extensible table tennis bat ,青岛金智高新技术有限公司,不公告发明人,2015-12-30,2015-12-30,2016-06-01,,https://patents.google.com/patent/CN105617628A/en,
KR-100797270-B1,Double-sided table tennis racket with acute angled blades and grips ,손공주,손공주,2007-07-03,2007-07-03,2008-01-23,2008-01-23,https://patents.google.com/patent/KR100797270B1/en,https://patentimages.storage.googleapis.com/a0/be/0a/a814ef89c79ad4/112007506449919-pat00001.png
US-2011094626-A1,Wooden sports articles and a method of manufacture ,"Frederick Roy Bonds, Derek Michael Bonds","Frederick Roy Bonds, Derek Michael Bonds",2009-10-27,2010-01-22,2011-04-28,,https://patents.google.com/patent/US20110094626A1/en,https://patentimages.storage.googleapis.com/b7/b5/0d/57a07e74e692b1/US20110094626A1-20110428-D00000.png
KR-20170006377-A,Racket ,류종렬,류종렬,2015-07-08,2015-07-08,2017-01-18,,https://patents.google.com/patent/KR20170006377A/en,https://patentimages.storage.googleapis.com/17/7b/95/b2cafc017d285e/pat00001.png
JP-4711091-B2,Device for adjusting the weight and center of gravity of bar-like instruments such as billiard cues ,学 山▲崎▼,学 山▲崎▼,2005-05-27,2005-05-27,2011-06-29,2011-06-29,https://patents.google.com/patent/JP4711091B2/en,https://patentimages.storage.googleapis.com/0a/e1/52/3ca9ed944484fb/0004711091-2.png
US-10046218-B2,Non-planar table tennis racket ,Leo Nicholas Planakis,Leo Nicholas Planakis,2016-07-14,2017-07-07,2018-08-14,2018-08-14,https://patents.google.com/patent/US10046218B2/en,https://patentimages.storage.googleapis.com/5e/33/b8/e1aa5bcbc1d2dc/US10046218-20180814-D00000.png
US-9364768-B2,Flying disk with removable trampoline portion ,Ogosport Llc,Kevin Williams,2012-02-10,2014-12-03,2016-06-14,2016-06-14,https://patents.google.com/patent/US9364768B2/en,https://patentimages.storage.googleapis.com/f2/91/28/59701ee721dbfb/US09364768-20160614-D00000.png
DE-102006054640-B4,table tennis racket ,Cuma Kilic,Cuma Kilic,2006-11-16,2006-11-16,2009-06-10,2009-06-10,https://patents.google.com/patent/DE102006054640B4/en,
US-2010113192-A1,Racket grip aid ,Mitsuhiro Aida,Mitsuhiro Aida,2008-11-04,2009-09-23,2010-05-06,,https://patents.google.com/patent/US20100113192A1/en,https://patentimages.storage.googleapis.com/US20100113192A1/US20100113192A1-20100506-D00000.png
EP-2881150-A1,Table-tennis bat comprising a reinforcement ,Cornilleau Sas,"Nicolas Havard, Cédric Corre",2013-12-06,2014-12-02,2015-06-10,,https://patents.google.com/patent/EP2881150A1/en,https://patentimages.storage.googleapis.com/79/6f/43/3970a1a89ebe83/imgf0001.png
DE-102014011178-B4,Device with plate and handle and associated blank ,Kickpack Gmbh,"Ludwig Prüß, Marcus Anlauff",2014-07-31,2014-07-31,2016-12-22,2016-12-22,https://patents.google.com/patent/DE102014011178B4/en,https://patentimages.storage.googleapis.com/2c/2e/ac/dc3a8de41164fa/DE102014011178B4_0002.png
KR-20100005805-U,A Tabele Tennis Racket Having Slant Grip ,이병대,이병대,2008-11-28,2008-11-28,2010-06-07,,https://patents.google.com/patent/KR20100005805U/en,https://patentimages.storage.googleapis.com/00/b8/37/c420971ff0982e/112008082363587-UTM00001.png
US-8282514-B2,Sports racquet for impacting a ball and facilitating the opening of a cap on a bottle ,Wilson Sporting Goods Co.,"Robert T. Kapheim, Scott M. Doyle, William D. Severa",2011-01-26,2011-01-26,2012-10-09,2012-10-09,https://patents.google.com/patent/US8282514B2/en,https://patentimages.storage.googleapis.com/18/5e/73/4a691cb0bf1f05/US08282514-20121009-D00000.png
CN-103619424-B,Table tennis rubber ,株式会社特玛苏,"北田明浩, 西田薰, 小岛和幸",2011-07-11,2012-02-06,2015-11-25,2015-11-25,https://patents.google.com/patent/CN103619424B/en,
DE-102016011756-A1,Racket for ball games ,Reinhard Hertel,Anmelder Gleich,2016-10-03,2016-10-03,2018-04-05,,https://patents.google.com/patent/DE102016011756A1/en,https://patentimages.storage.googleapis.com/d4/bc/8e/12a5cfb9628274/DE102016011756A1_0002.png
CN-107875602-A,A kind of Antiskid sweat absorbing ping-pong bat ,盐城市艾斯特体育器材有限公司,"王旭升, 汤小庆, 高焱",2017-11-08,2017-11-08,2018-04-06,,https://patents.google.com/patent/CN107875602A/en,
KR-20090045455-A,Paddle ,김동현,김동현,2007-11-02,2007-11-02,2009-05-08,,https://patents.google.com/patent/KR20090045455A/en,https://patentimages.storage.googleapis.com/1f/fc/67/8374a31c830c97/112007078849771-PAT00001.png
US-2009042660-A1,Performance-enhancing handle and equipment incorporating same ,Shaw R Harrison,R. Harrison Shaw,2007-08-10,2007-08-10,2009-02-12,,https://patents.google.com/patent/US20090042660A1/en,https://patentimages.storage.googleapis.com/US20090042660A1/US20090042660A1-20090212-D00000.png
US-2014302953-A1,Table tennis racquet and method of production ,"Kettler International, Inc.",Joachim Kettler,2013-04-03,2013-04-30,2014-10-09,,https://patents.google.com/patent/US20140302953A1/en,https://patentimages.storage.googleapis.com/7e/22/af/00c4d454230f63/US20140302953A1-20141009-D00000.png
KR-200469551-Y1,A table tennis racket ,장선,장선,2012-01-30,2012-01-30,2013-10-29,2013-10-29,https://patents.google.com/patent/KR200469551Y1/en,https://patentimages.storage.googleapis.com/22/c3/78/6cc327c358be7a/112012007193322-utm00001.png
GB-2520242-A,Table tennis bat ,Bounce Leisure Ltd,Dov Jonathon Penzik,2013-10-30,2013-10-30,2015-05-20,,https://patents.google.com/patent/GB2520242A/en,
CN-202506069-U,Table tennis bat with reinforced finger hole on ball hitting board ,刘勇,刘勇,2011-02-11,2012-02-08,2012-10-31,2012-10-31,https://patents.google.com/patent/CN202506069U/en,
US-7402117-B2,Racket with a center of gravity approximate to a center of a rubber sheet ,Kai-Ping Wang,Kai-Ping Wang,2004-08-09,2004-08-09,2008-07-22,2008-07-22,https://patents.google.com/patent/US7402117B2/en,https://patentimages.storage.googleapis.com/US7402117B2/US07402117-20080722-D00000.png
KR-20150102779-A,A hand wearable racquet ,이소섭,이소섭,2013-11-20,2013-11-20,2015-09-08,,https://patents.google.com/patent/KR20150102779A/en,https://patentimages.storage.googleapis.com/b3/a1/5e/441ada62e231e1/pat00001.png
JP-3221748-U,Table tennis racket ,"ノ、ヒョンスンＮＯ， Ｈｙｅｏｎｓｅｕｎｇ, ノ、ヒョンスン",ノ、ヒョンスン,2016-05-13,2017-05-01,2019-06-20,2019-06-20,https://patents.google.com/patent/JP3221748U/en,
CN-107308619-A,A kind of small radian is easy to the table tennis bat grasped ,成都益睿信科技有限公司,"昌越彬, 蒋明睿",2017-08-14,2017-08-14,2017-11-03,,https://patents.google.com/patent/CN107308619A/en,
EP-2889062-A1,Table-tennis bat ,Sarl B. Billon Impex,"Michel Fisch, Bernard Billon",2013-10-07,2014-10-07,2015-07-01,,https://patents.google.com/patent/EP2889062A1/en,https://patentimages.storage.googleapis.com/19/71/47/68523518863b9d/imgf0001.png
DE-202007004484-U1,"Table tennis table for use in e.g. garden, has playing board made of transparent or semi-transparent plastic material, where board is illuminated by illuminants such as ultra violet illuminants and light emitting diode illuminants ","Erlenbach, Klaudia, Moll, Andreas",,2007-03-26,2007-03-26,2007-06-14,,https://patents.google.com/patent/DE202007004484U1/en,
KR-200428238-Y1,racket ,정동녕,정동녕,2006-05-25,2006-05-25,2006-10-11,2006-10-11,https://patents.google.com/patent/KR200428238Y1/en,https://patentimages.storage.googleapis.com/66/f6/50/e97547476e825b/112006036939909-utm00001.png
KR-200421748-Y1,Racket for athletic sports ,문창환,문창환,2006-05-02,2006-05-02,2006-07-14,2006-07-14,https://patents.google.com/patent/KR200421748Y1/en,https://patentimages.storage.googleapis.com/25/19/6d/2267a8d3cca1db/112006503588919-utm00001.png
KR-200377656-Y1,Racket ,카이-핑 왕,카이-핑 왕,2004-10-22,2004-10-22,2005-03-11,2005-03-11,https://patents.google.com/patent/KR200377656Y1/en,
EP-1625878-A1,Racket with a center of gravity approximate to a center of a rubber sheet ,Kai-Ping Wang,Kai-Ping Wang,2004-08-11,2004-08-11,2006-02-15,,https://patents.google.com/patent/EP1625878A1/en,https://patentimages.storage.googleapis.com/8a/e5/6c/3778ce2e074835/imgf0001.png
AU-2003265211-B2,Table-tennis bat(pen-holding type) ,Chong Peen Siow,Chong Peen Siow,2003-05-16,2003-09-04,2010-11-11,2010-11-11,https://patents.google.com/patent/AU2003265211B2/en,
US-5816580-A,Electronic paddle game ,Elliot A. Rudell,"Ian Osborne, Elliot Rudell, Roger Gardner",1996-12-23,1997-06-12,1998-10-06,1998-10-06,https://patents.google.com/patent/US5816580A/en,https://patentimages.storage.googleapis.com/46/f5/ee/d8dd52b5493276/US5816580-drawings-page-2.png
US-4363484-A,Electronic table tennis game apparatus ,Marvin Glass & Associates,"Jeffrey D. Breslow, Rex M. Harper, David A. Glickson",1980-11-19,1980-11-19,1982-12-14,1982-12-14,https://patents.google.com/patent/US4363484A/en,https://patentimages.storage.googleapis.com/f1/e5/b7/cb2e119f70f94c/US4363484-drawings-page-2.png
GB-428582-A,Improvements in bats or rackets for playing table tennis and like ball games ,David Reid,,1934-10-06,1934-10-06,1935-05-15,,https://patents.google.com/patent/GB428582A/en,
US-1961473-A,Ping pong racket ,Louis E Baltzley,Louis E Baltzley,1932-10-18,1932-10-18,1934-06-05,1934-06-05,https://patents.google.com/patent/US1961473A/en,https://patentimages.storage.googleapis.com/3f/e0/1f/b101378a909f67/US1961473-drawings-page-1.png
US-2191287-A,Table tennis bat ,George H Perryman,George H Perryman,1939-07-07,1939-07-07,1940-02-20,1940-02-20,https://patents.google.com/patent/US2191287A/en,https://patentimages.storage.googleapis.com/bf/f3/f3/208ea44c7b9316/US2191287-drawings-page-1.png
DE-2610872-A1,Asymmetrical table-tennis bat with pistol hand grip - has axis of hand grip at angle to axis of blade ,Wolfgang Edelboeck,Wolfgang Edelboeck,1976-03-15,1976-03-15,1977-09-29,,https://patents.google.com/patent/DE2610872A1/en,
DE-2632820-A1,TABLE TENNIS RACKS AND METHOD FOR MANUFACTURING THE SAME ,"Nippon Takkyu Co, Nissei Co","Toshio Shingai, Koichi Hirose",1975-07-24,1976-07-21,1977-02-03,,https://patents.google.com/patent/DE2632820A1/en,
FR-912860-A,Ping-pong racket training ,,Isidore Hecht,1945-03-02,1945-03-02,1946-08-22,1946-08-22,https://patents.google.com/patent/FR912860A/en,
US-4293129-A,Game rackets and paddles with nonparallel playing surfaces ,Planakis Leo N,Leo N. Planakis,1979-05-21,1979-05-21,1981-10-06,1981-10-06,https://patents.google.com/patent/US4293129A/en,https://patentimages.storage.googleapis.com/38/b2/77/907cc14b006158/US4293129-drawings-page-2.png
FR-320057-A,"Beater or racket for playing ""ping-pong"" and other similar games ",Girdwood,Girdwood,1902-03-29,1902-03-29,1902-11-29,1902-11-29,https://patents.google.com/patent/FR320057A/en,
FR-318361-A,New kind of racket ,Delhaye Freres Soc,,1902-02-04,1902-02-04,1902-10-14,1902-10-14,https://patents.google.com/patent/FR318361A/en,
FR-1241675-A,Ping pong paddle ,,Robert-Michel Fetaz,1959-12-03,1959-12-03,1960-09-16,1960-09-16,https://patents.google.com/patent/FR1241675A/en,
DE-102008039157-A1,"Cover for handle of table tennis bat, has layer provided between another layer and handle, where former layer has pores containing gas, and protective layer arranged between layers counteracts leakage of gas from pores of former layer ",Tt-Tuning Center Gmbh,Michael Schneider,2008-08-21,2008-08-21,2010-02-25,,https://patents.google.com/patent/DE102008039157A1/en,
US-5476706-A,Sporting implement having a head portion with a hitting surface for contacting a ball ,Shimizu; Okiyoshi,Okiyoshi Shimizu,1992-11-16,1993-11-12,1995-12-19,1995-12-19,https://patents.google.com/patent/US5476706A/en,https://patentimages.storage.googleapis.com/3f/0f/9f/13514ceba8a17f/US5476706-drawings-page-2.png
US-5301955-A,Street paddle soccer game ,Jose Fedullo,Jose Fedullo,1992-12-21,1992-12-21,1994-04-12,1994-04-12,https://patents.google.com/patent/US5301955A/en,https://patentimages.storage.googleapis.com/38/63/75/5e32c5d0a35dfe/US5301955-drawings-page-2.png
US-1291464-A,Ball-bat. ,James F Folliard,James F Folliard,1917-09-24,1917-09-24,1919-01-14,1919-01-14,https://patents.google.com/patent/US1291464A/en,https://patentimages.storage.googleapis.com/d3/2a/dd/99255b1e4a90e8/US1291464-drawings-page-1.png
US-4635935-A,Audible-physical coordination racket ,Jerome Kane,Jerome Kane,1984-12-24,1984-12-24,1987-01-13,1987-01-13,https://patents.google.com/patent/US4635935A/en,https://patentimages.storage.googleapis.com/6a/c4/b1/9d6af244c95dd9/US4635935-drawings-page-2.png
FR-759530-A,Ping-pong racket training ,,Guido Pingoud,1932-11-02,1932-11-02,1934-02-05,1934-02-05,https://patents.google.com/patent/FR759530A/en,
WO-2008094079-A1,Table-tennis blade ,Stiga Sports Ab,Bandstigen Mats,2007-01-30,2007-01-30,2008-08-07,,https://patents.google.com/patent/WO2008094079A1/en,
